Name,RA_deg,Dec_deg,logMbh,source,theta_dpole,theta_apole
NGC3706,172.4351,-36.39126,9.77,Thomas2016,18.191940043222107,161.8080599567779
NGC3783,174.75717,-37.7385,7.36,Thomas2016,16.149647650030282,163.8503523499697
NGC3801,175.0704,17.72791,8.28,Thomas2016,58.706552760172556,121.29344723982744
NGC3842,176.00905,19.94982,9.96,Thomas2016,60.54592074430087,119.45407925569913
NGC3862,176.27087,19.60632,8.41,Thomas2016,60.144708509785666,119.85529149021434
NGC3923,177.75743,-28.80621,9.45,Thomas2016,17.12347871056595,162.87652128943404
NGC3945,178.30719,60.67556,6.94,Thomas2016,99.48105678864995,80.51894321135005
NGC3953,178.45428,52.32654,7.33,Thomas2016,91.33758376788698,88.66241623211302
NGC3982,179.11737,55.12536,6.95,Thomas2016,93.97752101520543,86.02247898479457
NGC3992,179.39993,53.37452,7.51,Thomas2016,92.23273560316875,87.76726439683125
NGC3998,179.48389,55.45359,8.93,Thomas2016,94.25253852656029,85.74746147343971
NGC4026,179.85495,50.96169,8.26,Thomas2016,89.81572574475248,90.18427425524752
NGC4036,180.36205,61.8957,7.89,Thomas2016,100.4544359516346,79.5455640483654
NGC4051,180.79036,44.53126,6.1,Thomas2016,83.39215191435305,96.60784808564695
NGC4088,181.39245,50.53903,6.79,Thomas2016,89.20777703243363,90.79222296756637
NGC4143,182.40036,42.53422,7.92,Thomas2016,81.21147429813045,98.78852570186955
NGC4150,182.64023,30.40149,5.94,Thomas2016,69.24246841929508,110.75753158070492
NGC4203,183.771,33.1973,7.82,Thomas2016,71.82747700330728,108.17252299669272
NGC4212,183.91406,13.90147,5.99,Thomas2016,52.81516425856445,127.18483574143555
NGC4245,184.40326,29.608,7.19,Thomas2016,68.19821728104387,111.80178271895613
NGC4253,184.61035,29.81282,6.8,Thomas2016,68.37199912103831,111.62800087896169
NGC4258,184.74008,47.30372,7.58,Thomas2016,85.65205007660533,94.34794992339467
NGC4261,184.84673,5.82492,8.72,Thomas2016,44.716717221797325,135.28328277820268
NGC4278,185.02844,29.28075,7.96,Thomas2016,67.79030011922434,112.20969988077566
NGC4291,185.07375,75.37096,8.99,Thomas2016,113.39959717389891,66.60040282610109
NGC4303,185.47896,4.47359,6.51,Thomas2016,43.267181166922576,136.73281883307743
NGC4314,185.63324,29.8953,6.91,Thomas2016,68.32121104756622,111.67878895243378
NGC4321,185.72875,15.82238,6.67,Thomas2016,54.394356631884875,125.60564336811512
NGC4335,185.75795,58.44471,8.39,Thomas2016,96.6033638709367,83.3966361290633
NGC4342,185.9126,7.05394,8.66,Thomas2016,45.72149730852979,134.2785026914702
NGC4350,185.99089,16.69336,8.58,Thomas2016,55.214864802309044,124.78513519769095
NGC4371,186.23096,11.70429,6.84,Thomas2016,50.25137848141303,129.74862151858696
NGC4374,186.2656,12.88698,8.97,Thomas2016,51.41362014869103,128.58637985130898
NGC4382,186.35022,18.19108,7.11,Thomas2016,56.644103749550226,123.35589625044977
NGC4388,186.44508,12.66207,6.86,Thomas2016,51.16413058619901,128.835869413801
NGC4429,186.86066,11.10754,7.85,Thomas2016,49.56568680423367,130.43431319576632
NGC4435,186.91876,13.07902,0.0,Thomas2016,51.50688409621517,128.49311590378483
NGC4450,187.12347,17.08495,8.06,Thomas2016,55.445329050873944,124.55467094912606
NGC4459,187.25011,13.97858,7.84,Thomas2016,52.351488309625296,127.6485116903747
NGC4472,187.44499,8.00041,9.4,Thomas2016,46.4073525897062,133.5926474102938
NGC4473,187.45366,13.42932,7.95,Thomas2016,51.780278583634484,128.21972141636553
NGC4477,187.50905,13.63644,7.55,Thomas2016,51.97819927776956,128.02180072223044
NGC4486,187.70593,12.39112,9.58,Thomas2016,50.71840216573993,129.28159783426008
NGC4486A,187.74054,12.27036,7.1,Thomas2016,50.59420981384718,129.4057901861528
NGC4486B,187.63327,12.49024,8.6,Thomas2016,50.826147218015095,129.17385278198492
NGC4501,187.99673,14.42041,7.3,Thomas2016,52.6940691563574,127.3059308436426
NGC4507,188.90257,-39.90921,7.18,Thomas2016,5.346022280661649,174.65397771933834
NGC4526,188.51262,7.69914,8.65,Thomas2016,45.96282154591856,134.03717845408144
NGC4548,188.86012,14.49632,7.25,Thomas2016,52.671081118760114,127.32891888123989
NGC4552,188.9159,12.5563,8.7,Thomas2016,50.737066252811246,129.26293374718875
NGC4564,189.11247,11.43932,7.95,Thomas2016,49.60561973600043,130.39438026399958
NGC4579,189.43165,11.81809,7.96,Thomas2016,49.948614627157426,130.05138537284256
NGC4699,192.25911,-8.6643,8.25,Thomas2016,29.292594257490975,150.70740574250902
NGC4593,189.91455,-5.34421,6.86,Thomas2016,32.84864182534437,147.15135817465563
