name,source,ra,dec,l,b,theta_D,d_mpc,R_Thales
2MRS_193.34+1.27,2MRS,193.33864,1.2692,304.0301341211248,64.13686297742127,39.14200425276622,15.41095890410959,19.870139196846
2MRS_192.06-3.33,2MRS,192.05698,-3.33292,301.35192769575735,59.52898202184287,34.6230050093644,15.424657534246576,18.744078084997867
2MRS_152.28-29.06,2MRS,152.28116,-29.0643,265.20987025405356,21.67420249668218,36.55842576287916,15.438356164383562,19.219867163236763
2MRS_188.19+0.12,2MRS,188.18994,0.11504,292.7370607251924,62.6164895987464,38.50049393950407,15.452054794520548,19.744441226013972
2MRS_186.33+5.74,2MRS,186.32526,5.7412,285.5506899059118,67.7266264144674,44.357029382044885,15.479452054794521,21.6496677332532
NGC4423,CF3,186.7875,5.880000000000001,286.6334748066543,67.97987096477397,44.415471379849,15.49,21.68606036739098
UGC07926,CF3,191.28583333333333,-0.46166666666666667,299.5373957904906,62.36858874470497,37.54842221295692,15.49,19.537394450019665
PGC051523,CF3,216.43916666666667,-5.401666666666667,341.4782170237758,50.27590607604391,37.74112529159582,15.56,19.676665536629592
2MRS_209.03+5.25,2MRS,209.03015,5.25474,340.9609748589114,63.24573389707386,44.95941185885478,15.602739726027398,22.049991523424175
N4742,CF3,192.95,-10.454722222222221,303.0778712743471,52.416925169091314,27.455600813289156,15.63,17.613879791425028
LEDA,CF2,192.49124999999998,5.31125,301.9454377753179,68.18017871641041,43.22023705156921,15.63,21.448367273515725
2MRS_254.76-60.22,2MRS,254.7623,-60.21602,329.42610827503694,-10.80938696546798,43.00547603754526,15.67123287671233,21.429617074570352
2MRS_182.22-9.04,2MRS,182.22163,-9.0365,285.54931142538743,52.39324293725964,31.095747178333742,15.67123287671233,18.30098521907076
2MRS_178.55+0.14,2MRS,178.5511,0.13663,273.59395578234194,59.70791083061652,40.966664354194656,15.684931506849315,20.772235680346128
NGC2788B,CF3,135.89791666666667,-67.96916666666667,284.02836157851624,-13.926621674152864,43.97192042228222,15.7,21.815246589004364
2MRS_141.32-34.10,2MRS,141.32448,-34.09906,261.4697143271022,11.700004330583985,43.18633322543159,15.753424657534246,21.605727075752146
2MRS_192.46+2.85,2MRS,192.45941,2.85141,301.9601387352285,65.72014044888273,40.76617482912785,15.794520547945206,20.85413718263936
2MRS_188.90+3.03,2MRS,188.9025,3.03452,293.3254565223744,65.61062179006187,41.28746248089119,15.808219178082192,21.038114932477697
