glon,glat,dist_mpc,theta_D
229.09,20.36,191.8,69.27464039989549
309.36,-29.43,186.0,54.59074632720984
306.25,25.13,183.3,1.1397186496259517
158.59,-59.36,179.4,138.45023109732568
164.11,-73.01,179.2,127.56511606795475
147.13,-20.5,174.1,159.12807684274668
328.97,47.61,170.6,29.489176436244787
262.29,-42.59,171.0,78.21277413352992
263.27,-44.89,166.8,79.57665313577853
324.02,-21.51,161.6,50.04437833373798
220.31,-34.26,157.9,99.70594862968909
262.96,-15.68,152.5,57.73558320136388
240.37,58.57,145.7,55.729403803209266
34.32,51.54,143.7,70.26818447443736
142.83,-21.78,139.2,163.3350192517608
161.45,26.14,135.0,117.92124558911627
228.13,52.74,133.4,62.54798055279762
56.41,45.73,126.8,85.88945263651358
48.31,46.02,126.5,80.83833640064492
193.83,-61.32,110.9,121.8600375060279
39.86,46.52,105.7,75.29614103339071
350.12,-41.37,104.5,78.42733624154897
314.24,41.13,100.2,17.86610678765382
313.85,42.53,100.1,18.98426828248935
183.87,-50.0,94.9,128.67623789216043
316.42,49.76,90.6,26.300948543735924
262.53,40.66,70.5,38.51016899605865
355.84,-32.97,64.6,75.51275397714767
313.11,28.21,47.6,7.92737809881455
281.46,21.25,35.5,21.941569453535845
267.69,73.61,34.1,52.49367635534243
264.67,16.27,30.8,38.589168161834564
310.7,35.2,25.0,11.32360796104977
214.46,55.05,24.5,70.03129371833859
287.09,32.27,23.8,17.287529584362748
138.78,69.65,7.2,84.82832758175341
257.26,-26.88,315.0,69.35597282790998
344.75,-47.38,246.8,80.74417209292231
306.74,18.42,227.7,6.775356649049786
173.49,-59.06,225.3,132.16776945352464
329.44,-9.81,217.6,42.18099657318666
263.93,-18.1,214.9,58.79085888529353
239.83,-45.62,209.4,92.05547252904978
219.22,-29.98,198.0,98.8247602489494
320.32,-17.53,191.7,45.072317965987054
341.73,30.43,190.5,32.821527320526656
77.71,42.33,188.1,99.78034033972855
322.29,24.63,177.7,15.687326970034198
20.9,-26.11,173.5,89.29718361695402
223.52,-33.8,171.7,97.09537236112745
136.98,-53.57,160.7,150.0557517530935
328.27,44.84,159.5,27.33122215959478
310.04,-34.82,157.4,60.0104854885322
248.3,41.89,157.0,49.26218857612695
130.6,-47.05,156.1,157.50447390333025
325.83,44.14,150.4,25.54994652098165
262.27,-46.93,145.2,81.61089421962129
246.41,-18.39,144.7,71.64645116224754
275.41,-28.96,144.5,60.99210107424724
22.17,-25.32,137.6,89.93253635458454
248.25,-10.97,137.3,65.95713403674992
245.05,-21.15,131.4,74.28917032954779
24.5,-75.98,122.7,111.71665739098441
171.97,-30.69,117.0,138.37685507352467
356.52,-36.2,114.5,78.14250224852866
216.37,-34.55,110.9,102.81656795177561
355.76,-42.13,108.7,81.85509071274312
326.52,21.12,108.3,20.153534970089254
75.46,-34.5,107.0,136.39050113849962
57.22,-42.36,104.6,122.54819215553911
143.24,-11.1,101.2,157.82416137130386
242.15,39.17,93.8,54.015630963867686
315.01,41.13,89.9,18.150385147908448
320.98,52.85,88.4,30.34217756221548
219.72,89.13,85.2,64.93147445742558
257.65,-83.28,82.8,110.35656783900244
317.34,-25.21,77.5,51.6085240519941
128.45,-67.55,76.1,137.39688247444795
112.8,-28.89,72.5,168.45713275051565
144.19,-47.52,68.2,152.8400980479604
103.36,-27.3,64.8,160.46406985403036
148.87,-24.79,60.8,158.37512070551514
140.09,-22.63,53.2,166.00088347635423
191.77,-42.54,51.2,123.30660420016184
265.11,18.82,34.0,37.38756498879765
110.0,55.46,27.4,98.52417971491946
353.44,52.62,26.5,45.5055165647527
211.02,-54.42,23.8,112.35337020088134
171.25,-52.63,20.3,135.7469300750347
181.71,-58.34,18.4,128.3763580014098
100.23,79.35,16.9,74.73674006325386
335.93,68.75,16.6,47.49514339354853
301.49,61.64,16.2,36.71746254562807
292.42,65.07,15.7,40.87952604944062
298.35,65.93,14.7,41.14702193385791
331.85,-25.42,9.6,56.70792213274147
101.99,59.7,7.3,93.2096497190069
41.91,47.25,292.7,76.33037592303509
344.13,-32.8,256.8,68.77606073798674
340.93,-33.31,253.2,67.59111113703347
219.77,-31.61,243.9,99.05168287784309
266.74,-27.44,234.9,64.09844326769453
132.47,-79.2,231.4,125.69824811403817
