RAJ2000,DEJ2000,z
18.192778,40.313,1.605
16.17956,39.534,1.119
16.646974,40.892,1.265
19.045208,40.212,2.113
20.814306,41.026,0.91
21.704813,42.13,1.656
20.124624,41.589,0.961
18.662986,42.171,1.207
15.323359,40.886,2.09
15.037878,40.928,0.985
16.381221,41.691,1.506
15.035338,42.632,1.64
6.56204,36.965,1.353
5.818912,37.614,1.125
7.75339,38.454,1.895
6.626353,38.508,1.701
6.15359,39.071,2.167
4.175575,37.638,0.96
4.081423,38.443,1.614
4.384504,38.61,1.254
3.406848,38.908,1.124
5.558983,39.873,1.506
5.263549,40.016,0.977
4.513398,39.989,0.839
6.166909,41.978,1.221
7.731067,43.321,1.15
7.141472,43.448,1.848
6.892369,43.404,1.309
2.095508,40.788,2.15
4.204514,41.491,1.307
4.245832,41.957,0.908
3.83474,42.606,1.884
1.871392,41.786,1.33
2.575598,42.121,1.464
5.418855,43.543,1.475
3.761351,43.318,1.755
3.820158,43.959,1.592
22.521374,41.96,1.181
82.703367,80.658,1.932
80.415987,81.388,1.866
89.530475,82.21,1.216
84.57816,81.953,1.465
82.612761,81.839,2.061
86.642775,82.096,1.628
89.321572,82.284,1.295
134.83498,0.662,1.99
134.827719,1.284,1.226
135.43878,1.73,1.064
136.033922,1.827,1.328
137.68953,2.352,2.105
136.748152,2.126,1.402
135.48102,2.203,1.558
135.6987,2.863,1.723
133.959613,2.585,0.88
133.484332,2.678,1.586
134.46623,3.039,1.843
134.783654,3.263,1.873
137.807423,2.487,1.806
137.692548,3.268,1.549
136.5696,3.639,1.118
138.901402,4.108,1.262
140.22647,5.008,1.044
139.593789,5.624,1.473
136.79723,3.919,2.121
137.410957,4.669,1.375
138.381426,5.324,1.848
138.161187,5.75,1.246
138.272891,6.737,1.683
133.410258,4.236,1.387
130.83272,4.715,1.295
130.932826,5.1,1.867
131.02492,5.715,1.263
132.878429,6.133,1.689
133.021469,6.332,1.512
131.811955,5.857,1.695
135.017855,6.127,0.971
134.803004,6.388,0.882
135.101645,6.395,2.137
133.671161,6.406,1.028
133.403861,6.828,1.659
134.410427,7.494,1.118
134.232893,8.891,2.019
135.173734,8.799,1.55
140.113174,6.047,1.261
140.064976,6.522,1.426
139.472857,6.66,1.502
141.665594,8.146,1.8
140.947716,8.553,0.906
144.739573,8.326,1.355
144.700139,8.441,1.531
143.148687,8.86,1.033
144.754831,9.989,1.625
143.694912,10.991,1.385
143.086785,11.073,1.939
138.265937,9.257,2.13
139.525657,10.245,1.861
137.999051,9.947,1.07
137.512733,10.047,1.729
138.448396,10.363,1.396
137.164908,10.883,1.538
137.231488,11.319,1.821
140.767343,10.353,1.578
141.868325,10.716,1.672
141.302339,12.346,1.778
141.928788,12.935,1.294
138.713825,11.247,1.147
139.775292,12.286,0.911
138.127988,12.047,1.631
140.220593,12.929,1.138
129.563368,5.741,1.417
128.808904,5.584,0.896
128.853254,6.997,2.174
132.145817,7.649,1.839
133.269134,9.284,1.051
130.782715,8.967,1.162
131.186607,9.596,2.078
131.744912,11.183,1.759
127.269789,7.835,1.891
127.766839,9.233,1.02
127.447784,9.445,1.647
127.829447,9.607,1.561
124.89673,9.215,0.861
125.497329,9.769,1.665
124.327749,9.283,1.166
126.721599,10.248,1.166
126.462905,11.107,1.325
129.744868,10.169,0.951
129.544072,10.077,1.395
129.967279,10.398,2.095
130.68498,10.772,1.349
129.367882,11.7,1.333
130.53935,11.298,1.592
130.358099,12.576,1.091
128.050815,12.102,1.83
129.482345,12.264,1.761
130.269572,13.114,1.77
129.011576,13.661,0.898
135.7541,10.673,1.937
135.591923,11.089,0.973
133.847155,10.911,1.441
136.429696,11.018,0.853
136.190727,11.53,0.978
136.850058,11.915,1.202
136.521264,12.936,1.063
136.589503,13.056,2.049
133.612367,11.701,1.913
133.549984,13.059,1.253
135.974815,12.985,1.912
135.967022,13.457,0.981
135.356596,13.503,1.381
139.171765,14.212,1.519
139.954889,13.983,2.152
139.663753,15.048,1.626
136.823941,13.824,1.749
135.894004,14.532,1.784
137.474919,15.689,1.817
137.822967,15.773,1.229
133.037691,13.246,2.076
131.39349,12.972,1.168
131.565697,13.682,1.792
134.214438,15.05,1.504
133.495145,15.425,1.394
131.052833,15.157,0.823
130.512292,15.08,1.43
130.649177,15.173,1.698
131.459103,15.239,1.402
131.173553,15.913,1.361
134.55484,14.98,1.547
135.753357,15.141,2.071
135.205315,15.973,1.343
137.437064,16.797,1.357
135.464982,16.568,0.898
136.475565,17.252,2.091
134.19585,16.64,0.915
132.466328,16.753,1.142
132.735443,16.946,1.832
134.645578,17.5,1.01
134.351637,18.687,2.024
146.231866,9.947,2.066
146.187116,11.408,2.096
148.365835,11.821,1.317
147.127235,12.43,1.514
145.128133,11.315,1.119
145.619431,12.439,1.219
144.163201,11.778,1.718
145.602426,12.608,1.987
146.56499,13.721,0.979
146.073532,14.015,1.389
148.710268,12.4,1.747
148.907471,12.58,1.492
149.097306,13.566,1.613
148.931436,13.781,1.911
150.517465,13.598,2.119
151.149985,14.527,0.92
149.77621,13.953,1.155
150.68215,15.117,1.726
150.508366,15.546,0.823
147.610959,14.979,0.878
149.397143,15.11,2.02
148.922895,15.781,1.26
142.641165,13.661,1.576
143.557894,13.43,0.927
143.468694,14.13,2.044
144.854456,13.761,1.053
142.339215,13.682,1.671
142.658185,14.937,1.688
142.065613,14.72,1.356
142.484979,15.761,1.77
146.53407,15.215,1.649
146.027103,15.88,1.201
147.703088,17.278,1.077
146.274462,18.067,1.327
145.502849,18.393,1.598
145.636003,18.754,1.54
149.658811,16.676,1.807
152.958549,18.021,2.149
152.325379,18.514,0.951
151.456958,17.954,1.18
155.719745,18.161,0.97
153.975893,18.076,1.584
155.362163,19.286,2.089
152.810889,19.763,1.057
153.167611,19.61,0.901
154.625725,19.557,1.095
155.115963,20.743,1.274
154.507822,21.498,1.426
148.881217,17.381,1.45
149.505139,17.701,1.329
148.660176,17.322,1.611
149.346033,18.23,0.926
150.162378,19.164,2.154
151.15476,18.999,1.364
147.784445,18.832,0.801
147.282706,19.775,1.772
147.580071,19.899,1.824
149.173135,19.825,1.464
151.714572,20.035,1.834
151.436776,20.274,1.565
151.936008,20.201,1.759
150.627891,20.767,1.649
152.219776,21.238,1.136
153.452193,21.397,1.325
154.348995,21.779,1.711
153.542325,22.041,2.163
153.149482,22.578,1.974
153.222745,23.194,1.912
150.59777,20.97,1.525
150.834755,21.338,1.17
149.836081,22.252,1.831
151.843749,23.193,1.071
140.351258,15.949,1.815
142.570116,16.405,1.257
141.709779,17.314,1.488
138.424054,17.179,1.612
138.507964,17.274,1.175
138.963257,17.699,0.922
141.075603,17.78,0.878
140.311379,17.371,1.046
141.266365,18.143,1.321
141.199638,18.191,1.008
139.775919,17.922,1.967
140.925192,18.574,1.346
143.313125,17.893,1.741
143.42852,18.714,0.918
145.753088,19.571,1.389
145.360088,19.916,2.022
142.534872,19.717,0.818
141.390367,19.502,1.22
143.660934,20.505,1.212
142.433854,20.849,1.939
142.778281,20.947,0.905
143.31475,21.786,2.079
136.682324,18.37,1.767
138.133174,18.64,1.494
136.662951,20.531,1.494
138.141759,21.65,1.276
139.866412,20.328,1.691
142.110739,20.825,1.616
139.502956,21.666,1.039
138.752988,21.628,1.86
137.917742,22.024,1.406
141.466742,23.158,1.431
147.273269,20.567,1.287
147.123963,20.96,0.901
146.516932,21.633,1.938
146.355894,21.673,1.338
146.768505,21.694,1.707
144.407744,21.242,1.436
144.838937,23.293,1.012
147.405535,23.22,1.43
146.70403,23.552,1.713
148.737724,22.659,1.335
149.987278,23.392,1.083
148.869117,23.973,1.534
150.802353,24.072,1.641
150.169363,24.26,1.355
149.608214,24.228,1.768
150.354624,25.502,1.365
148.034743,24.331,0.952
146.897359,25.168,1.55
147.417833,25.268,1.184
148.927751,24.924,1.896
148.176461,26.372,1.942
144.812206,23.289,1.089
143.667943,23.996,1.742
143.045001,24.186,1.902
143.557222,24.312,1.262
144.193899,24.319,1.518
144.13353,24.523,2.065
143.383826,25.68,1.055
143.052572,26.401,1.753
146.118635,25.003,1.804
145.623859,26.446,0.986
147.750339,26.889,1.62
147.128507,26.996,1.153
147.983187,28.062,2.158
