RAJ2000,DEJ2000
0.0354139,-2.229104
0.0355306,33.9693307
0.0357435,23.304377
0.0358639,-10.2533366
0.0362215,14.6367084
0.0364684,47.9830104
0.0365035,50.0542953
0.0368664,23.5933749
0.0371389,24.6173056
0.037516,30.4056187
0.0375457,-14.1887382
0.0377043,10.1595753
0.0377327,30.1600299
0.0384749,-2.7042544
0.0386126,15.298483
0.0386162,23.9545906
0.0386473,2.1061017
0.0386582,-4.8287764
0.0388223,26.5933508
0.0388421,35.1520763
0.0389167,13.9914723
0.0389321,29.4592781
0.0390939,13.9384617
0.0392839,-10.4644046
0.0395145,-4.7845419
0.0396061,-58.6051449
0.0400112,5.4763447
0.0401744,8.1315949
0.0402587,-16.5781771
0.040261,5.8343131
0.0403254,-31.279918
0.0404602,12.6251896
0.0405282,1.6876333
0.0408239,35.8027141
0.0412228,48.4054702
0.041243,-30.9248725
0.0412809,0.4684842
0.0414729,47.817019
0.0417499,21.4395022
0.0420434,30.9331711
0.042063,19.7915028
0.0422284,30.2914168
0.0423474,-31.9972538
0.0424349,31.6461837
0.0427831,5.7969214
0.0428373,-3.6012893
0.043331,-8.2540974
0.0434284,-2.7944256
0.0434745,-8.1456921
0.0438506,-3.3151781
0.0439227,32.8248939
0.0440245,36.0394287
0.0441167,28.1394648
0.0444783,-2.4653241
0.0447952,-5.722211
0.0451389,34.8908056
0.0453295,35.3273697
0.0453939,9.7097722
0.0457486,0.9481539
0.045791,10.366797
0.0459597,-24.6990754
0.0462531,-43.5546831
0.0463327,26.7880689
0.0463565,21.5918662
0.046525,-1.7428015
0.046625,18.3637483
0.0468811,-4.8237562
0.0473856,15.0599529
0.0475625,14.9293708
0.0476372,31.4635331
0.0476512,-33.1807591
0.0478528,3.4863787
0.0480712,6.138629
0.04823,3.5295952
0.0483565,-38.8010226
0.0485214,-56.3987085
0.0485481,-31.6444165
0.048659,-59.8755315
0.0487262,8.1948871
0.04886,5.388198
0.0488796,14.0596224
0.0489481,3.5015464
0.0490589,29.6764087
0.049304,78.9719457
0.049421,18.0941814
0.0498318,34.5940695
0.0498421,0.0403701
0.0502399,-2.00393
0.0507064,4.082845
0.0507245,-3.0099335
0.0509304,26.3681764
0.0509791,-3.7169793
0.0510888,-0.5390484
0.0511497,18.4889061
0.0511754,-1.0682119
0.0512631,21.2737546
0.051368,22.8387437
0.051385,-34.8834676
0.0516811,0.7427204
0.0518013,12.1717141
0.0519352,27.4298363
0.051983,-1.3811132
0.0521257,10.5040154
0.052193,18.8978916
0.0522003,31.9093872
0.0523574,-37.2775989
0.0524167,6.1726945
0.0525343,-1.704645
0.0526176,-4.7125491
0.0532378,34.0432447
0.0535719,26.4817039
0.0537088,-10.1288986
0.0538411,8.4911151
0.054009,44.1190607
0.0541593,11.6953125
0.054317,4.7343193
0.0544028,30.0610571
0.0544435,1.5612538
0.05451,43.8999267
0.0547771,14.1763114
0.0550157,22.9599543
0.0550189,27.4786251
0.0556183,33.0316645
0.0560549,32.3811838
0.0563056,-60.5951667
0.0567502,9.530782
0.0568316,-2.1720719
0.0568488,-11.6250714
0.057,-60.8835
0.0571059,-35.6011711
0.0575121,-0.9130058
0.0577332,-21.2957358
0.0577736,6.8479093
0.0581066,27.6999646
0.0581476,35.8157287
0.0582274,25.353369
0.058484,23.3438254
0.0585671,-37.5201676
0.0586431,1.4976581
0.0586886,34.2759984
0.0588317,-3.1601346
0.058872,29.1283195
0.0590125,22.6205439
0.0594621,21.8556659
0.0594778,5.8174747
0.0598306,-61.589417
0.0599481,79.0074912
0.0602034,14.2116244
0.0603773,-10.7584803
0.0606001,22.6533767
0.0608527,13.9256367
0.0609972,33.5246319
0.0611964,29.2351254
0.0613596,25.9112905
0.0613952,-0.3274257
0.0614271,0.5342478
0.0615834,-30.5286667
0.0617647,-1.1752143
0.0625777,19.8998487
0.0625834,-34.7228612
0.0626777,6.7493927
0.0629599,-85.6562616
0.0629723,-7.7261389
0.0632313,0.8092517
0.0632403,24.5416946
0.0632952,-0.3857819
0.0633073,-8.1152548
0.0636674,-60.0910216
0.0637025,33.2105663
0.0638171,6.1766281
0.0639275,3.8034662
0.0639806,30.2364737
0.0643252,0.900188
0.0643724,-4.0936779
0.0645195,0.8796855
